     DATE1      DATE2 APP_RATE NAP_RATE   N_RESP
2020-04-18 2020-04-19    41.00    41.00     2000 # 要確認
2020-03-14 2020-03-15    41.00    38.00     2000 # 要確認
2020-02-15 2020-02-16    39.00    40.00     2000 # 要確認
2020-01-25 2020-01-26    38.00    41.00     2116
2019-12-21 2019-12-22    38.00    42.00     1980
2019-11-16 2019-11-17    44.00    36.00     1998
2019-10-19 2019-10-20    45.00    32.00     2029
2019-09-14 2019-09-15    48.00    31.00     1924
2019-07-22 2019-07-23    42.00    35.00     1069
2019-07-13 2019-07-14    42.00    34.00     1001
2019-06-22 2019-06-23    45.00    33.00     2000
2019-05-18 2019-05-19    45.00    32.00     1906
2019-04-13 2019-04-14    44.00    32.00     1796
2019-03-16 2019-03-17    41.00    37.00     1544
2019-02-16 2019-02-17    41.00    38.00     1927
2019-01-19 2019-01-20    43.00    38.00     1899
2018-12-15 2018-12-16    40.00    41.00     1919
2018-11-17 2018-11-18    43.00    34.00     1940
2018-10-13 2018-10-14    40.00    40.00     1937
2018-09-08 2018-09-09    41.00    38.00     2102
2018-08-04 2018-08-05    38.00    41.00     1928
2018-07-14 2018-07-15    38.00    43.00     1941
2018-06-16 2018-06-17    38.00    45.00     1999
2018-05-19 2018-05-20    36.00    44.00     1908
2018-04-14 2018-04-15    31.00    52.00     1911
2018-03-17 2018-03-18    31.00    48.00     1915
2018-02-17 2018-02-18    44.00    37.00     1797
2018-01-20 2018-01-21    45.00    33.00     2018
2017-12-15 2017-12-17    41.00    38.00     1927
2017-11-11 2017-11-12    44.00    39.00     2004
2017-10-23 2017-10-24    42.00    39.00     3214
2017-10-17 2017-10-18    38.00    40.00     3214
2017-10-03 2017-10-04    40.00    38.00     3214
2017-09-26 2017-09-27    36.00    39.00     2000 # 要確認
2017-09-09 2017-09-10    38.00    38.00     2000 # 要確認
2017-08-05 2017-08-06    35.00    45.00     2153
2017-07-08 2017-07-09    33.00    47.00     2046
2017-07-01 2017-07-02    38.00    42.00     2009
2017-06-17 2017-06-18    41.00    37.00     1998
2017-05-24 2017-05-25    47.00    31.00      960
2017-05-13 2017-05-14    48.00    29.00     2001
2017-04-15 2017-04-16    50.00    30.00     1955
2017-03-11 2017-03-12    49.00    28.00     1849
2017-02-18 2017-02-19    52.00    25.00     1760
2017-01-14 2017-01-15    54.00    26.00     1977
2016-12-17 2016-12-18    50.00    31.00     2009
2016-11-19 2016-11-20    51.00    25.00     1973
2016-10-15 2016-10-16    48.00    32.00     2036
2016-09-10 2016-09-11    52.00    29.00     2028
2016-08-06 2016-08-07    48.00    29.00     2046
2016-07-11 2016-07-12    45.00    35.00     2107
2016-07-02 2016-07-03    41.00    36.00     1146
2016-06-18 2016-06-19    45.00    36.00     1163
2016-06-04 2016-06-05    45.00    34.00     1144
2016-05-21 2016-05-22    43.00    33.00     1877
2016-04-09 2016-04-10    45.00    34.00     1882
2016-03-12 2016-03-13    44.00    35.00     1882
2016-02-13 2016-02-14    40.00    38.00     1943
2016-01-16 2016-01-17    42.00    38.00     1921
