     DATE1      DATE2 APP_RATE NAP_RATE   N_RESP
2019-09-11 2019-09-12    55.40    25.7     1000
2019-08-17 2019-08-18    50.30    34.6     1000
2019-07-22 2019-07-23    48.60    38.2     1000
#2019-07-12 2019-07-13    46.50    40.30     1000 èÓê®
2019-06-26 2019-06-27    47.60    44.10     1000
2019-06-15 2019-06-16    47.60    38.10     1000
2019-05-18 2019-05-19    50.50    36.20     1000
2019-05-01 2019-05-02    51.90    31.30     1034
2019-04-01 2019-04-02    52.80    32.40     1977
2019-03-09 2019-03-10    43.30    40.90     1029
2019-02-02 2019-02-03    45.60    41.10     1027
2019-01-12 2019-01-13    43.40    42.30     1041
2018-12-15 2018-12-16    42.40    44.10     1035
2018-11-03 2018-11-04    47.30    39.50     1038
2018-10-02 2018-10-03    46.50    38.20     1015
2018-09-20 2018-09-21    47.40    40.00     1017
2018-08-25 2018-08-26    44.20    42.40     1027
2018-07-21 2018-07-22    43.40    41.80     1023
2018-06-16 2018-06-17    44.90    43.20     1260
2018-05-12 2018-05-13    38.90    50.30     1045
2018-04-14 2018-04-15    37.00    52.60     1025
2018-03-17 2018-03-18    38.70    48.20     1014
2018-03-03 2018-03-04    48.10    39.00     1019
2018-02-10 2018-02-11    50.80    36.90     1016
2018-01-13 2018-01-14    49.70    36.60     1013
2017-12-02 2017-12-03    47.20    40.40     1020
2017-11-01 2017-11-02    49.50    38.30     1007
2017-09-30 2017-10-01    40.60    46.20     1219
2017-09-23 2017-09-24    45.00    41.30     1211
2017-09-02 2017-09-03    44.50    46.10     1010
2017-08-03 2017-08-04    44.40    43.20     1008
2017-07-15 2017-07-16    35.80    53.10     1015
2017-06-17 2017-06-18    44.90    43.10     1006
2017-05-20 2017-05-21    55.40    34.30     1119
2017-04-22 2017-04-23    58.70    31.50     1013
2017-03-11 2017-03-12    55.70    30.70     1018
2017-02-12 2017-02-13    61.70    27.20     1003
2017-01-28 2017-01-29    59.60    27.20     1010
2016-12-17 2016-12-18    54.80    34.10     1018
2016-11-26 2016-11-27    60.70    30.40     1022
2016-10-29 2016-10-30    53.90    33.20     1011
2016-09-17 2016-09-18    55.70    30.00     1014
2016-08-08 2016-08-09    55.30    30.80     1008
2016-07-11 2016-07-12    53.00    34.70     1011
2016-06-12 2016-06-13    47.80    43.50     1221
2016-06-01 2016-06-02    49.40    41.30     1214
2016-05-28 2016-05-29    55.30    33.00     1026
2016-04-29 2016-04-30    48.30    40.30     1017
2016-03-26 2016-03-27    48.40    39.50     1016
2016-02-20 2016-02-21    46.70    38.90     1015
2016-01-30 2016-01-31    53.70    35.30     1007
