     DATE1      DATE2 APP_RATE NAP_RATE   N_RESP
2019-10-26 2019-10-27    48.00    30.00     1000
2019-09-14 2019-09-15    50.00    28.00     1000
2019-06-15 2019-06-16    40.00    37.00     1000
2019-05-18 2019-05-19    43.00    31.00     1008
2019-04-13 2019-04-14    41.00    37.00     1056
2019-03-16 2019-03-17    39.00    41.00      943
2019-02-02 2019-02-03    38.00    39.00     1455
2018-12-15 2018-12-16    37.00    40.00     1017
2018-11-17 2018-11-18    41.00    38.00      982
2018-10-06 2018-10-07    37.00    40.00     1005
2018-09-01 2018-09-02    37.00    41.00     1032
2018-07-28 2018-07-29    37.00    44.00     1049
2018-06-23 2018-06-24    36.00    40.00     1063
2018-05-26 2018-05-27    31.00    48.00     1077
2018-04-21 2018-04-22    30.00    49.00     1142
2018-03-17 2018-03-18    33.00    47.00     1072
2018-02-24 2018-02-25    45.00    32.00     1032
2018-01-20 2018-01-21    44.00    38.00     1003
2017-11-11 2017-11-12    46.00    36.00     1044
2017-09-26 2017-09-27    36.00    42.00     1098
2017-09-02 2017-09-03    39.00    36.00     1113
2017-08-03 2017-08-04    35.00    47.00     1010
2017-07-22 2017-07-23    26.00    56.00     1073
2017-06-17 2017-06-18    36.00    44.00     1052
2017-05-20 2017-05-21    46.00    35.00     1044
2017-04-22 2017-04-23    51.00    30.00     1011
2017-03-11 2017-03-12    50.00    31.00     1012
2017-02-18 2017-02-19    55.00    27.00     1011
2017-01-21 2017-01-22    55.00    28.00     1014
2016-12-17 2016-12-18    51.00    32.00      948
2016-11-05 2016-11-06    48.00    31.00      949
2016-09-03 2016-09-04    46.00    35.00     1025
2016-08-03 2016-08-04    47.00    34.00     1041
2016-07-16 2016-07-17    44.00    35.00     1031
2016-06-18 2016-06-19    42.00    39.00     1024
2016-05-28 2016-05-29    49.00    33.00     1033
2016-04-16 2016-04-17    44.00    38.00     1009
2016-03-05 2016-03-06    42.00    38.00     1017
2016-01-30 2016-01-31    51.00    30.00     1011
