     DATE1      DATE2 APP_RATE NAP_RATE   N_RESP
2021-01-09 2021-01-11    40.00    41.00     1278
2020-12-11 2020-12-13    42.00    36.00     1249
2020-11-06 2020-11-08    56.00    19.00     1195
2020-10-09 2020-10-11    55.00    20.00     1284
2020-09-21 2020-09-22    62.00    13.00     1270
2020-08-08 2020-08-10    34.00    47.00     1286
2020-07-10 2020-07-12    36.00    45.00     1268
2020-06-19 2020-06-21    36.00    49.00     1270
2020-05-15 2020-05-17    37.00    45.00     1263
2020-04-10 2020-04-12    39.00    38.00     1253
2020-03-06 2020-03-08    43.00    41.00     1240
2020-02-07 2020-02-09    45.00    37.00     1252
2020-01-11 2020-01-13    44.00    38.00     1221
2019-12-06 2019-12-08    45.00    37.00     1000
2019-11-09 2019-11-10    47.00    35.00     1000
2019-09-06 2019-09-08    48.00    33.00     1216
2019-08-02 2019-08-03    49.00    31.00     1214
2019-07-05 2019-07-07    45.00    33.00     2060
2019-06-28 2019-06-30    45.00    31.00     2049
2019-06-21 2019-06-23    42.00    34.00     2042
2019-06-07 2019-06-09    48.00    32.00     1214
2019-05-10 2019-05-12    48.00    32.00     1260
2019-04-05 2019-04-07    47.00    35.00     1250
2019-03-08 2019-03-10    42.00    36.00     1132
2019-02-09 2019-02-11    44.00    37.00     1236
2019-01-12 2019-01-14    43.00    35.00     1206
2018-12-08 2018-12-09    41.00    38.00     1074
2018-11-09 2018-11-11    46.00    37.00     1215
2018-10-06 2018-10-08    42.00    40.00     1271
2018-09-15 2018-09-17    42.00    39.00     1200
2018-08-03 2018-08-05    41.00    41.00     1205
2018-07-06 2018-07-08    44.00    39.00     1218
2018-06-08 2018-06-10    38.00    44.00     1330
2018-05-11 2018-05-13    38.00    44.00     1253
2018-04-06 2018-04-08    38.00    45.00     1208
2018-03-09 2018-03-11    44.00    38.00     1217
2018-02-10 2018-02-12    46.00    34.00     1256
2018-01-06 2018-01-08    46.00    34.00     1248
2017-12-08 2017-12-10    49.00    35.00     1236
2017-11-10 2017-11-12    46.00    35.00     1236
2017-10-13 2017-10-15    39.00    42.00     3192
2017-10-07 2017-10-09    37.00    43.00     3119
2017-09-29 2017-10-01    37.00    44.00     3000
2017-09-09 2017-09-10    44.00    36.00     1285
2017-08-04 2017-08-06    39.00    43.00     1309
2017-07-07 2017-07-09    35.00    48.00     1233
2017-06-09 2017-06-11    48.00    36.00     1272
2017-05-12 2017-05-14    51.00    30.00     1253
2017-04-07 2017-04-09    53.00    27.00     1233
2017-03-10 2017-03-12    51.00    31.00      952
2017-02-11 2017-02-12    58.00    23.00      957
2017-01-07 2017-01-09    55.00    29.00     1058
2016-12-09 2016-12-11    50.00    32.00      959
2016-11-11 2016-11-13    55.00    26.00     1007
2016-10-08 2016-10-10    50.00    33.00      979
2016-09-09 2016-09-11    54.00    26.00     1023
2016-08-05 2016-08-07    53.00    32.00      980
2016-07-16 2016-07-18    48.00    36.00     1003
2016-06-10 2016-06-12    48.00    35.00     1999
2016-05-06 2016-05-08    45.00    36.00     1036
2016-04-08 2016-04-10    42.00    39.00     1041
2016-03-11 2016-03-13    46.00    37.00     1036
2016-02-05 2016-02-07    50.00    34.00     1063
2016-01-09 2016-01-11    46.00    35.00     1043
