     DATE1      DATE2 APP_RATE NAP_RATE   N_RESP
2019-11-22 2019-11-24    50.00    40.00     1000
2019-10-25 2019-10-27    57.00    36.00     1000
2019-09-11 2019-09-12    59.00    33.00     1000
2019-08-31 2019-09-01    58.00    33.00     1000
2019-07-26 2019-07-28    52.00    38.00     923
# 2019-07-13 2019-07-14    49.00    35.00     1000
2019-06-28 2019-06-30    56.00    36.00     1000
2019-05-10 2019-05-12    55.00    35.00      938
2019-03-22 2019-03-24    48.00    42.00      970
2019-02-15 2019-02-17    51.00    42.00      988
2019-01-25 2019-01-27    53.00    37.00      990
2018-12-14 2018-12-16    47.00    44.00      990
2018-11-23 2018-11-25    51.00    38.00      996
2018-10-26 2018-10-28    48.00    42.00      985
2018-10-02 2018-10-03    50.00    42.00      943
2018-09-21 2018-09-23    55.00    39.00      973
2018-08-24 2018-08-26    48.00    42.00      950
2018-07-20 2018-07-22    45.00    47.00      965
2018-06-22 2018-06-24    52.00    42.00      990
2018-05-25 2018-05-27    42.00    53.00      975
2018-04-27 2018-04-29    43.00    51.00     1009
2018-03-23 2018-03-25    42.00    49.00     1015
2018-02-23 2018-02-25    56.00    36.00      972
2018-01-26 2018-01-28    55.00    37.00      969
2017-12-15 2017-12-17    50.00    40.00      964
2017-11-24 2017-11-26    52.00    39.00     1013
2017-11-01 2017-11-02    54.00    38.00      973
2017-09-22 2017-09-24    50.00    42.00     1044
2017-08-25 2017-08-27    46.00    46.00     1044
2017-08-03 2017-08-04    42.00    49.00      933
2017-07-21 2017-07-23    39.00    52.00     1069
2017-06-16 2017-06-18    49.00    42.00     1020
2017-05-25 2017-05-28    56.00    36.00     1595
2017-04-27 2017-04-30    60.00    32.00     1579
2017-03-24 2017-03-26    62.00    30.00      943
2017-02-24 2017-02-26    60.00    30.00     1001
2017-01-27 2017-01-29    58.00    24.00      975
2016-12-28 2016-12-29    64.00    26.00      937
2016-11-25 2016-11-27    58.00    30.00     1018
2016-10-28 2016-10-30    60.00    27.00      955
2016-09-23 2016-09-25    58.00    32.00     1022
2016-08-26 2016-08-28    62.00    27.00     1055
2016-08-09 2016-08-11    58.00    32.00     1000
2016-07-22 2016-07-24    58.00    35.00     1000
2016-05-27 2016-05-29    56.00    35.00     1089
2016-04-29 2016-05-01    53.00    40.00      991
2016-03-25 2016-03-27    46.00    38.00     1012
2016-02-26 2016-02-28    43.00    36.00     1016
2016-01-22 2016-01-24    47.00    34.00     1012
