     DATE1      DATE2 APP_RATE NAP_RATE   N_RESP
2018-06-15 2018-06-17    39.40    41.90      756
2018-05-18 2018-05-20    32.40    50.60      782
2018-04-13 2018-04-15    26.70    53.40      772
2018-03-16 2018-03-18    30.30    53.00      768
2018-02-16 2018-02-18    44.00    37.30      750
2018-01-26 2018-01-28    36.90    43.80      739
2017-12-15 2017-12-17    37.80    45.30      740
2017-11-17 2017-11-19    41.10    41.40      705
2017-10-27 2017-10-29    41.70    44.20      717
2017-09-08 2017-09-10    42.10    41.00      718
2017-08-04 2017-08-06    36.00    47.00      725
2017-07-07 2017-07-09    32.00    49.00      721
2017-06-16 2017-06-18    40.00    42.00      727
2017-05-19 2017-05-21    46.00    36.00      723
2017-04-14 2017-04-16    50.00    31.00      722
2017-03-17 2017-03-19    48.00    33.00      702
2017-02-17 2017-02-19    55.00    26.00      703
2017-01-20 2017-01-22    57.00    29.00      719
2016-12-16 2016-12-18    49.00    35.00      709
2016-11-18 2016-11-20    53.00    29.00      721
2016-10-21 2016-10-23    49.00    33.00      733
2016-09-16 2016-09-18    51.00    30.00      717
2016-08-19 2016-08-21    50.00    34.00      723
2016-07-15 2016-07-17    48.00    37.00      717
2016-06-17 2016-06-19    43.00    40.00      725
2016-05-20 2016-05-22    43.00    37.00      725
2016-04-15 2016-04-17    45.00    35.00      727
2016-03-25 2016-03-27    43.00    38.00     1000
2016-02-19 2016-02-21    43.00    38.00     1004
2016-01-05 2016-01-17    46.00    36.00     1015
