     DATE1      DATE2 APP_RATE NAP_RATE   N_RESP
2020-11-07 2020-11-07    57.00    36.00     1040 (ågë—726, å≈íË314)
2020-09-17 2020-09-17    64.00    27.00     1000 (ågë—, å≈íË)
2020-09-08 2020-09-08    50.00    42.00     1031 (ågë—730, å≈íË301)
2020-08-22 2020-08-22    34.00    59.00     1042 (ågë—735, å≈íË307)
2020-07-18 2020-07-18    32.00    60.00     1053 (ågë—735, å≈íË318)
2020-06-20 2020-06-20    36.00    56.00     1084 (ågë—777, å≈íË307)
2020-05-23 2020-05-23    27.00    64.00     1019 (ågë—505, å≈íË514)
2020-05-06 2020-05-06    40.00    45.00     1000
2020-04-08 2020-04-08    44.00    42.00     1000
# ã^éóÉfÅ[É^Ç»Çµ
