     DATE1      DATE2 APP_RATE NAP_RATE   N_RESP
2019-12-13 2019-12-15    48.00    40.00     1000
2019-11-15 2019-11-17    49.00    36.00     1000
2019-10-18 2019-10-20    55.00    34.00     1000
2019-09-13 2019-09-15    53.00    35.00     1000
2019-08-23 2019-08-25    58.00    30.00     1000
2019-07-22 2019-07-23    53.00    36.00     1000
2019-07-04 2019-07-05    51.00    33.00     1000
2019-06-28 2019-06-30    53.00    36.00     1000
2019-05-17 2019-05-19    55.00    32.00     1063
2019-04-26 2019-04-28    54.00    31.00     1000
2019-04-01 2019-04-02    53.00    32.00     1073
2019-03-22 2019-03-24    50.00    35.00     1053
2019-02-22 2019-02-24    49.00    40.00     1086
2019-01-25 2019-01-27    49.00    38.00     1103
2018-12-14 2018-12-16    47.00    43.00     1060
2018-11-23 2018-11-25    53.00    36.00     1052
2018-10-26 2018-10-28    49.00    41.00     1183
2018-10-02 2018-10-03    50.00    39.00     1021
2018-09-21 2018-09-23    50.00    41.00     1053
2018-08-24 2018-08-26    50.00    40.00     1076
2018-07-21 2018-07-22    45.00    45.00     1034
2018-06-15 2018-06-17    45.00    44.00     1090
2018-05-18 2018-05-20    42.00    47.00     1120
2018-04-20 2018-04-22    39.00    53.00     1066
2018-03-09 2018-03-11    48.00    42.00     1036
2018-02-10 2018-02-11    54.00    36.00     1085
2018-01-12 2018-01-14    54.00    35.00     1070
2017-12-08 2017-12-10    53.00    36.00     1078
2017-11-01 2017-11-02    52.00    40.00     1089
2017-10-23 2017-10-24    52.00    37.00     1094
2017-10-07 2017-10-08    41.00    46.00     1099
2017-09-28 2017-09-29    43.00    46.00     1137
2017-09-08 2017-09-10    50.00    39.00     1000
2017-08-03 2017-08-04    42.00    48.00     1152
2017-07-07 2017-07-09    36.00    52.00     1088
2017-06-17 2017-06-18    49.00    41.00     1130
2017-05-12 2017-05-14    61.00    28.00     1104
2017-04-14 2017-04-16    60.00    29.00     1080
2017-03-18 2017-03-19    56.00    33.00     1092
2017-02-17 2017-02-19    66.00    24.00     1119
2017-01-27 2017-01-29    61.00    31.00     1063
2016-12-28 2016-12-29    63.00    27.00     1119
2016-11-04 2016-11-06    58.00    30.00     1100
2016-10-07 2016-10-09    57.00    32.00      517
2016-09-09 2016-09-11    62.00    29.00     1072
2016-08-03 2016-08-04    55.00    32.00     1055
2016-07-11 2016-07-12    53.00    34.00     1148
2016-06-17 2016-06-19    49.00    38.00     1072
2016-06-03 2016-06-05    53.00    35.00     1103
2016-05-13 2016-05-15    53.00    34.00     1146
2016-04-01 2016-04-03    50.00    38.00     1110
2016-03-04 2016-03-06    49.00    40.00     1041
2016-02-12 2016-02-14    52.00    36.00     1060
2016-01-08 2016-01-10    49.00    39.00     1053
